,mse_deepar,computation_time_deepar
0,10.263422032251436,0 days 00:04:03.926503
1,6.053206899349469,0 days 00:03:58.849240
2,9.573666199016932,0 days 00:03:57.729417
3,9.695422958490655,0 days 00:04:06.713056
4,10.72137759326772,0 days 00:04:03.373351
5,8.63693208265851,0 days 00:04:39.700925
6,3.3623504736771093,0 days 00:04:12.400081
7,10.35696558075601,0 days 00:04:28.149892
8,4.781053437568513,0 days 00:04:00.110545
9,6.305416863613226,0 days 00:04:00.151562
10,9.885226942990588,0 days 00:04:03.373170
11,9.127643693807945,0 days 00:04:06.966125
12,10.248173545138872,0 days 00:04:04.214443
13,8.106498419739804,0 days 00:04:01.230041
14,5.404981434553573,0 days 00:04:07.066109
15,12.574194156229865,0 days 00:04:43.680326
16,7.644438345898327,0 days 00:04:08.981599
17,9.637511652388405,0 days 00:04:05.338132
18,7.04368722392856,0 days 00:04:08.183970
19,11.487854951885035,0 days 00:04:07.107635
20,3.2634689473388483,0 days 00:04:06.731030
