,mse_deepar,computation_time_deepar
0,9.805638957559239,0 days 00:01:16.081640
1,3.8114896661178364,0 days 00:01:13.615870
2,8.366530343561472,0 days 00:01:14.034981
3,7.916642032882903,0 days 00:01:19.530147
4,8.623905781470336,0 days 00:01:08.208855
5,8.88882177068964,0 days 00:01:11.093785
6,6.534457376471192,0 days 00:01:12.838350
7,7.765134260600288,0 days 00:01:13.200285
8,1.8491236934680946,0 days 00:01:13.692577
9,3.6906299444869095,0 days 00:01:06.302626
10,8.457646713514134,0 days 00:01:06.451637
11,8.665246098968925,0 days 00:01:05.708407
12,7.094472910378408,0 days 00:01:07.207019
13,13.190889953560305,0 days 00:01:16.969154
14,4.168028714948827,0 days 00:01:06.215572
15,8.268895129995412,0 days 00:01:05.670218
16,4.37222106938205,0 days 00:01:05.737681
17,6.618763238605979,0 days 00:01:05.986082
18,2.6782804935805546,0 days 00:01:07.237754
19,8.338707683138892,0 days 00:01:06.007236
20,6.123878752825441,0 days 00:01:11.523967
