,mse_deepar,computation_time_deepar
0,15.016765314575618,0 days 00:02:20.654843
1,4.077961720030269,0 days 00:02:28.242756
2,7.133126086645581,0 days 00:02:32.139480
3,4.075987273925095,0 days 00:02:32.235667
4,6.655393767178809,0 days 00:02:31.334535
5,7.014387048461721,0 days 00:02:25.928725
6,4.069148513376125,0 days 00:02:19.597870
7,9.472605964438117,0 days 00:02:24.102799
8,3.4946477683732855,0 days 00:02:18.010890
9,9.632702889535544,0 days 00:02:23.713276
10,7.866792393147743,0 days 00:02:36.590126
11,6.710307017377305,0 days 00:02:35.395332
12,6.599226247717256,0 days 00:02:38.721318
13,14.866103072527052,0 days 00:02:27.000110
14,4.784932643504258,0 days 00:02:21.988498
15,7.22429550678814,0 days 00:02:33.460937
16,6.861323317368496,0 days 00:02:22.182484
17,8.31732701094968,0 days 00:02:22.598974
18,4.8252630358939825,0 days 00:02:30.759313
19,6.213045876832929,0 days 00:02:34.539070
20,2.3678965626487365,0 days 00:02:24.620904
