,mse_deepar,computation_time_deepar
0,9.593175144377817,0 days 00:01:49.292009
1,2.7798585326507004,0 days 00:02:01.186318
2,8.487264922916959,0 days 00:01:46.816872
3,5.401339936026227,0 days 00:01:46.094619
4,6.664840186042354,0 days 00:01:45.936183
5,5.400464191036679,0 days 00:01:49.851975
6,4.006758124516636,0 days 00:01:48.436854
7,8.258385796474634,0 days 00:01:46.840517
8,4.566889154677095,0 days 00:01:46.053312
9,4.504680052913972,0 days 00:01:46.921107
10,9.59032131967111,0 days 00:01:47.283293
11,8.41012074667536,0 days 00:01:54.044261
12,7.793211759891747,0 days 00:01:56.383384
13,13.061183709750528,0 days 00:01:50.210570
14,5.733465843194807,0 days 00:01:46.307767
15,5.290425857467473,0 days 00:02:01.931679
16,4.08934324397006,0 days 00:01:49.009000
17,8.844357559020132,0 days 00:01:47.610545
18,3.1290881732071996,0 days 00:02:03.917971
19,7.031045068883431,0 days 00:01:46.598635
20,5.866930405473615,0 days 00:01:45.907385
