,mse_deepar,computation_time_deepar
0,8.926823269091571,0 days 00:01:52.116370
1,3.0118225277167396,0 days 00:01:48.629493
2,21.370383331922852,0 days 00:01:49.176086
3,11.985168973174462,0 days 00:01:49.865472
4,10.697030753406418,0 days 00:01:48.316897
5,14.46276228388351,0 days 00:01:59.696636
6,2.0487023397010797,0 days 00:01:51.494291
7,6.955085070172877,0 days 00:01:52.100326
8,3.510019458578715,0 days 00:01:51.780375
9,15.836056711636676,0 days 00:02:11.825402
10,8.62153147657775,0 days 00:01:50.535630
11,10.729503117919124,0 days 00:01:48.599422
12,6.352942171293182,0 days 00:01:48.002724
13,6.402922484352321,0 days 00:01:48.229895
14,5.94829408799564,0 days 00:02:07.275508
15,9.529669178522388,0 days 00:01:48.593441
16,4.6288833473614925,0 days 00:01:48.984785
17,9.841147079114956,0 days 00:01:49.579207
18,3.9582683047693927,0 days 00:01:49.032050
19,6.0422914606831135,0 days 00:01:49.227404
20,3.247569880190648,0 days 00:01:49.347657
