,mse_deepar,computation_time_deepar
0,12.352515617663773,0 days 00:03:37.077906
1,3.782623772372837,0 days 00:03:27.485299
2,12.653658839402297,0 days 00:03:35.441708
3,5.739587329719155,0 days 00:03:26.018926
4,10.238336389223768,0 days 00:03:52.925198
5,8.162460589500593,0 days 00:03:46.817108
6,1.9499689363420676,0 days 00:03:35.968814
7,9.567757347951444,0 days 00:03:42.911597
8,4.1234343278565495,0 days 00:03:40.955780
9,5.351394450185035,0 days 00:03:40.176566
10,6.668606319553225,0 days 00:03:26.846546
11,13.993262020116918,0 days 00:03:30.868674
12,7.700976958043674,0 days 00:03:23.432256
13,6.563942471087758,0 days 00:03:27.145185
14,5.518255656645688,0 days 00:03:23.177637
15,5.216704638166387,0 days 00:06:35.606981
16,9.15127021478576,0 days 00:03:33.758852
17,10.181867037222192,0 days 00:03:37.686220
18,9.615969146890485,0 days 00:03:36.166364
19,15.747537081445453,0 days 00:03:37.450002
20,3.3917355364977517,0 days 00:03:35.330065
