,mse_deepar,computation_time_deepar
0,17.06161265433153,0 days 00:02:29.327158
1,4.865762375374725,0 days 00:02:46.361917
2,8.949132425675744,0 days 00:02:25.510446
3,5.012721263355848,0 days 00:02:26.057914
4,6.9572651380784,0 days 00:02:25.123257
5,13.999127223056197,0 days 00:02:26.943796
6,2.5552308812145976,0 days 00:02:26.239762
7,10.701573223366537,0 days 00:02:27.853131
8,4.209420537280855,0 days 00:02:28.373777
9,14.229587177736104,0 days 00:02:31.351252
10,10.538125023188234,0 days 00:02:28.014027
11,10.043230778075532,0 days 00:02:25.078953
12,5.567729024791704,0 days 00:02:25.213866
13,15.312037971278821,0 days 00:02:27.341387
14,3.2173316694787335,0 days 00:02:28.155790
15,13.279865424168793,0 days 00:02:26.526973
16,6.473386102425501,0 days 00:02:38.701521
17,8.887811530151602,0 days 00:02:25.484487
18,2.715327105020608,0 days 00:02:26.918810
19,12.569905952773546,0 days 00:02:25.853207
20,3.0421894482876706,0 days 00:02:28.886994
