,mse_deepar,computation_time_deepar
0,7.393380005130792,0 days 00:01:34.860031
1,3.4970236898268277,0 days 00:01:57.307672
2,6.156549401756525,0 days 00:01:34.689846
3,5.3915368968981845,0 days 00:01:35.491675
4,8.27710697474959,0 days 00:01:39.979931
5,14.953487920241448,0 days 00:01:40.765029
6,3.783639392864582,0 days 00:01:35.125193
7,14.321078367759899,0 days 00:01:35.411472
8,6.845932828762399,0 days 00:01:42.208075
9,8.511609425704004,0 days 00:01:41.106426
10,8.868652980706763,0 days 00:01:49.099791
11,6.947314351145681,0 days 00:01:53.110251
12,11.655785455365303,0 days 00:01:40.294893
13,9.854044808833496,0 days 00:01:34.308595
14,4.335792822820803,0 days 00:01:37.206104
15,8.305451437254426,0 days 00:01:44.559313
16,6.700337341959607,0 days 00:01:46.790971
17,7.755631049789432,0 days 00:01:37.434634
18,7.865703427161173,0 days 00:01:43.954336
19,19.129604428266322,0 days 00:01:35.173468
20,8.009174613521273,0 days 00:01:43.456331
