,mse_deepar,computation_time_deepar
0,9.436035310271171,0 days 00:01:28.625245
1,2.8517242717877385,0 days 00:01:28.903479
2,7.622019072953524,0 days 00:01:31.685677
3,6.106510520049195,0 days 00:01:29.004296
4,7.112831768490667,0 days 00:01:30.735497
5,9.265628286524414,0 days 00:01:30.240094
6,7.775076715221924,0 days 00:01:29.172950
7,6.881255928458257,0 days 00:01:33.006134
8,2.9654677775529916,0 days 00:01:41.532247
9,4.207772429601859,0 days 00:01:31.789329
10,9.253504715224736,0 days 00:01:28.879407
11,7.4895302156497685,0 days 00:01:29.071571
12,7.184199450708196,0 days 00:01:29.523270
13,7.794386616954465,0 days 00:01:31.980562
14,6.958691962620664,0 days 00:01:30.548688
15,7.276269939890089,0 days 00:01:31.128313
16,5.35911761644969,0 days 00:01:28.659878
17,8.355152073526487,0 days 00:01:32.913875
18,3.7155748156155735,0 days 00:01:30.795043
19,11.603607386420036,0 days 00:01:33.424448
20,4.916033736721364,0 days 00:01:29.151068
