,mse_deepar,computation_time_deepar
0,8.157777778099215,0 days 00:01:29.607270
1,2.5211245926030874,0 days 00:01:29.487798
2,6.069085951077039,0 days 00:01:30.468751
3,4.445874769076232,0 days 00:01:40.396048
4,8.929252339716456,0 days 00:01:28.423616
5,5.815389795126391,0 days 00:01:31.793270
6,2.536080174796777,0 days 00:01:30.097200
7,5.745459008714603,0 days 00:01:30.398496
8,3.6306970459351686,0 days 00:01:30.876153
9,6.404142270760683,0 days 00:01:28.504519
10,8.198411665736892,0 days 00:01:30.032962
11,6.790984394487679,0 days 00:01:28.137010
12,5.961226104870706,0 days 00:01:28.192567
13,10.974057734932845,0 days 00:01:29.788583
14,2.9010737421255977,0 days 00:01:27.751527
15,5.955860272665851,0 days 00:01:26.802857
16,4.842490024493147,0 days 00:01:28.554848
17,10.64887192763606,0 days 00:01:35.717883
18,4.424953654237539,0 days 00:01:27.986584
19,8.060687512457054,0 days 00:01:38.732645
20,16.127106122272583,0 days 00:01:29.043100
