,batch_size,num_layers,num_cells,epoch,context_length,mean_mse,mean_time
0,32.0,2.0,20.0,10.0,36.0,6.809181155231057,29.977371761904763
1,32.0,2.0,20.0,10.0,50.0,7.627107344359835,35.537869190476194
2,32.0,2.0,20.0,10.0,100.0,7.341357417744542,46.89223195238095
3,32.0,2.0,20.0,10.0,200.0,6.585449610516717,75.29124871428571
4,32.0,2.0,20.0,20.0,36.0,6.623872206435221,58.02413476190476
5,32.0,2.0,20.0,20.0,50.0,7.126552847218203,66.1160899047619
6,32.0,2.0,20.0,20.0,100.0,9.071309016594778,93.1857590952381
7,32.0,2.0,20.0,20.0,200.0,8.580398710910062,148.53897261904763
8,32.0,2.0,40.0,10.0,36.0,6.681991839264792,35.529596380952384
9,32.0,2.0,40.0,10.0,50.0,6.400428920301977,40.88184142857143
10,32.0,2.0,40.0,10.0,100.0,6.270599168356351,60.38483609523809
11,32.0,2.0,40.0,10.0,200.0,7.3100412234636405,98.3818029047619
12,32.0,2.0,40.0,20.0,36.0,7.624776799306617,72.8176540952381
13,32.0,2.0,40.0,20.0,50.0,7.788203381696819,83.39217671428571
14,32.0,2.0,40.0,20.0,100.0,8.411746446806719,121.28504042857143
15,32.0,2.0,40.0,20.0,200.0,9.306882784117894,197.27812571428572
16,32.0,3.0,20.0,10.0,36.0,6.578930525842141,38.91172338095238
17,32.0,3.0,20.0,10.0,50.0,6.71868599892874,45.59154409523809
18,32.0,3.0,20.0,10.0,100.0,6.596213849961667,65.79439771428571
19,32.0,3.0,20.0,10.0,200.0,6.595388082325645,110.31591695238095
20,32.0,3.0,20.0,20.0,36.0,7.112840819597734,78.54489533333333
21,32.0,3.0,20.0,20.0,50.0,7.38887048043956,90.05872695238095
22,32.0,3.0,20.0,20.0,100.0,6.978831931192489,132.719854
23,32.0,3.0,20.0,20.0,200.0,7.941431556047426,229.6119657142857
24,32.0,3.0,40.0,10.0,36.0,6.626006955275128,51.40154585714286
25,32.0,3.0,40.0,10.0,50.0,6.863612905532062,61.9707240952381
26,32.0,3.0,40.0,10.0,100.0,6.656891682353894,85.96807885714286
27,32.0,3.0,40.0,10.0,200.0,7.013297096728368,147.80085271428572
28,32.0,3.0,40.0,20.0,36.0,8.133591923412997,104.55059928571428
29,32.0,3.0,40.0,20.0,50.0,8.121134685248649,119.82357904761905
30,32.0,3.0,40.0,20.0,100.0,10.205059993300186,181.43620695238096
31,32.0,3.0,40.0,20.0,200.0,9.20880213300464,299.05229476190476
32,64.0,2.0,20.0,10.0,36.0,6.870353234123528,47.273384
33,64.0,2.0,20.0,10.0,50.0,7.2348754128126185,50.647052714285714
34,64.0,2.0,20.0,10.0,100.0,6.915685932676516,70.15780204761904
35,64.0,2.0,20.0,10.0,200.0,7.914004309121166,111.12925995238095
36,64.0,2.0,20.0,20.0,36.0,7.638224685579835,90.19531976190476
37,64.0,2.0,20.0,20.0,50.0,8.502801791453264,101.06352557142857
38,64.0,2.0,20.0,20.0,100.0,8.130758829210917,139.66935195238096
39,64.0,2.0,20.0,20.0,200.0,8.14519823955877,209.6334683809524
40,64.0,2.0,40.0,10.0,36.0,6.734390846259505,54.9613550952381
41,64.0,2.0,40.0,10.0,50.0,6.276215906725348,64.7996759047619
42,64.0,2.0,40.0,10.0,100.0,6.625743184848648,90.5139850952381
43,64.0,2.0,40.0,10.0,200.0,7.5641548820512305,151.5081729047619
44,64.0,2.0,40.0,20.0,36.0,7.751199195787469,113.013886
45,64.0,2.0,40.0,20.0,50.0,8.29740180839978,130.11875742857143
46,64.0,2.0,40.0,20.0,100.0,8.907755697711455,182.06940342857143
47,64.0,2.0,40.0,20.0,200.0,9.05603035386757,296.33795885714284
48,64.0,3.0,20.0,10.0,36.0,6.857237252603388,56.02008742857143
49,64.0,3.0,20.0,10.0,50.0,6.445691226807666,65.17397471428572
50,64.0,3.0,20.0,10.0,100.0,6.863351933842515,90.98909861904762
51,64.0,3.0,20.0,10.0,200.0,7.130400333770651,147.01796238095238
52,64.0,3.0,20.0,20.0,36.0,8.290803681336424,112.01947957142858
53,64.0,3.0,20.0,20.0,50.0,7.831690654503078,130.3594719047619
54,64.0,3.0,20.0,20.0,100.0,8.027786622112735,183.1720099047619
55,64.0,3.0,20.0,20.0,200.0,9.10412754501211,304.44240204761905
